poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct
83021,1497,co/efficient,645,New Hampshire Journal,co/efficient,514,co/efficient,B+,IVR/Text,New Hampshire,6/14/23,6/16/23,,"",,174539,904,lv,r,lv-r,,6/16/23 09:28,"",https://nhjournal.com/exclusive-nh-poll-trump-holds-big-lead-over-field-christie-tops-no-way-list-for-nhgop-voters/,"",false,,8850,2024,U.S. President,0,,,primary,false,false,,REP,Pence,16638,Mike Pence,5.0
83021,1497,co/efficient,645,New Hampshire Journal,co/efficient,514,co/efficient,B+,IVR/Text,New Hampshire,6/14/23,6/16/23,,"",,174539,904,lv,r,lv-r,,6/16/23 09:28,"",https://nhjournal.com/exclusive-nh-poll-trump-holds-big-lead-over-field-christie-tops-no-way-list-for-nhgop-voters/,"",false,,8850,2024,U.S. President,0,,,primary,false,false,,REP,Haley,16640,Nikki Haley,3.0
83021,1497,co/efficient,645,New Hampshire Journal,co/efficient,514,co/efficient,B+,IVR/Text,New Hampshire,6/14/23,6/16/23,,"",,174539,904,lv,r,lv-r,,6/16/23 09:28,"",https://nhjournal.com/exclusive-nh-poll-trump-holds-big-lead-over-field-christie-tops-no-way-list-for-nhgop-voters/,"",false,,8850,2024,U.S. President,0,,,primary,false,false,,REP,Ramaswamy,30966,Vivek G. Ramaswamy,3.0
83021,1497,co/efficient,645,New Hampshire Journal,co/efficient,514,co/efficient,B+,IVR/Text,New Hampshire,6/14/23,6/16/23,,"",,174539,904,lv,r,lv-r,,6/16/23 09:28,"",https://nhjournal.com/exclusive-nh-poll-trump-holds-big-lead-over-field-christie-tops-no-way-list-for-nhgop-voters/,"",false,,8850,2024,U.S. President,0,,,primary,false,false,,REP,T. Scott,16648,Tim Scott,3.0
83023,1416,HarrisX,1996,Messenger,HarrisX,133,Harris Insights & Analytics,B,Online Panel,,6/14/23,6/15/23,,"",,174548,283,rv,r,rv-r,,6/16/23 09:50,"",https://themessenger.com/politics/exclusive-majority-of-voters-disapprove-of-bidens-job-performance-dont-want-him-to-run,"",false,,8916,2024,U.S. President,0,,,primary,false,false,,REP,Trump,16651,Donald Trump,53.0
83023,1416,HarrisX,1996,Messenger,HarrisX,133,Harris Insights & Analytics,B,Online Panel,,6/14/23,6/15/23,,"",,174548,283,rv,r,rv-r,,6/16/23 09:50,"",https://themessenger.com/politics/exclusive-majority-of-voters-disapprove-of-bidens-job-performance-dont-want-him-to-run,"",false,,8916,2024,U.S. President,0,,,primary,false,false,,REP,DeSantis,16646,Ron DeSantis,17.0
83023,1416,HarrisX,1996,Messenger,HarrisX,133,Harris Insights & Analytics,B,Online Panel,,6/14/23,6/15/23,,"",,174548,283,rv,r,rv-r,,6/16/23 09:50,"",https://themessenger.com/politics/exclusive-majority-of-voters-disapprove-of-bidens-job-performance-dont-want-him-to-run,"",false,,8916,2024,U.S. President,0,,,primary,false,false,,REP,Pence,16638,Mike Pence,6.0
83023,1416,HarrisX,1996,Messenger,HarrisX,133,Harris Insights & Analytics,B,Online Panel,,6/14/23,6/15/23,,"",,174548,283,rv,r,rv-r,,6/16/23 09:50,"",https://themessenger.com/politics/exclusive-majority-of-voters-disapprove-of-bidens-job-performance-dont-want-him-to-run,"",false,,8916,2024,U.S. President,0,,,primary,false,false,,REP,Christie,16659,Chris Christie,2.0
83023,1416,HarrisX,1996,Messenger,HarrisX,133,Harris Insights & Analytics,B,Online Panel,,6/14/23,6/15/23,,"",,174548,283,rv,r,rv-r,,6/16/23 09:50,"",https://themessenger.com/politics/exclusive-majority-of-voters-disapprove-of-bidens-job-performance-dont-want-him-to-run,"",false,,8916,2024,U.S. President,0,,,primary,false,false,,REP,T. Scott,16648,Tim Scott,4.0
83023,1416,HarrisX,1996,Messenger,HarrisX,133,Harris Insights & Analytics,B,Online Panel,,6/14/23,6/15/23,,"",,174548,283,rv,r,rv-r,,6/16/23 09:50,"",https://themessenger.com/politics/exclusive-majority-of-voters-disapprove-of-bidens-job-performance-dont-want-him-to-run,"",false,,8916,2024,U.S. President,0,,,primary,false,false,,REP,Haley,16640,Nikki Haley,3.0
83023,1416,HarrisX,1996,Messenger,HarrisX,133,Harris Insights & Analytics,B,Online Panel,,6/14/23,6/15/23,,"",,174548,283,rv,r,rv-r,,6/16/23 09:50,"",https://themessenger.com/politics/exclusive-majority-of-voters-disapprove-of-bidens-job-performance-dont-want-him-to-run,"",false,,8916,2024,U.S. President,0,,,primary,false,false,,REP,Hutchinson,30191,Asa Hutchinson,1.0
83023,1416,HarrisX,1996,Messenger,HarrisX,133,Harris Insights & Analytics,B,Online Panel,,6/14/23,6/15/23,,"",,174548,283,rv,r,rv-r,,6/16/23 09:50,"",https://themessenger.com/politics/exclusive-majority-of-voters-disapprove-of-bidens-job-performance-dont-want-him-to-run,"",false,,8916,2024,U.S. President,0,,,primary,false,false,,REP,Ramaswamy,30966,Vivek G. Ramaswamy,2.0
83023,1416,HarrisX,1996,Messenger,HarrisX,133,Harris Insights & Analytics,B,Online Panel,,6/14/23,6/15/23,,"",,174548,283,rv,r,rv-r,,6/16/23 09:50,"",https://themessenger.com/politics/exclusive-majority-of-voters-disapprove-of-bidens-job-performance-dont-want-him-to-run,"",false,,8916,2024,U.S. President,0,,,primary,false,false,,REP,Burgum,31006,Doug Burgum,0.0
83023,1416,HarrisX,1996,Messenger,HarrisX,133,Harris Insights & Analytics,B,Online Panel,,6/14/23,6/15/23,,"",,174549,283,rv,r,rv-r,,6/16/23 09:50,"",https://themessenger.com/politics/exclusive-majority-of-voters-disapprove-of-bidens-job-performance-dont-want-him-to-run,"",false,,8916,2024,U.S. President,0,,,primary,false,false,,REP,DeSantis,16646,Ron DeSantis,41.0
83023,1416,HarrisX,1996,Messenger,HarrisX,133,Harris Insights & Analytics,B,Online Panel,,6/14/23,6/15/23,,"",,174549,283,rv,r,rv-r,,6/16/23 09:50,"",https://themessenger.com/politics/exclusive-majority-of-voters-disapprove-of-bidens-job-performance-dont-want-him-to-run,"",false,,8916,2024,U.S. President,0,,,primary,false,false,,REP,Pence,16638,Mike Pence,14.0
83023,1416,HarrisX,1996,Messenger,HarrisX,133,Harris Insights & Analytics,B,Online Panel,,6/14/23,6/15/23,,"",,174549,283,rv,r,rv-r,,6/16/23 09:50,"",https://themessenger.com/politics/exclusive-majority-of-voters-disapprove-of-bidens-job-performance-dont-want-him-to-run,"",false,,8916,2024,U.S. President,0,,,primary,false,false,,REP,Christie,16659,Chris Christie,4.0
